Label,Utterance
1,"Set in and around a low-rent motel in Orlando, Florida, the film follows Moonee (Brooklynn Prince), a mischievous 6-year-old, as she gets up to hijinks and bothers the motel manager Bobby (Willem Dafoe)."
1,Several years before he decided to challenge Mississippi's incumbent Sen.
1,She can live her life however she wants as long as she listens to what I have to say.
1,She had convinced her kids that any mushroom found on the ground would kill them if they touched it.
1,She had the gift of being able to paint songs.
1,"She is good at speaking English, no less so than her brother."
1,"She learned that water bottles are no longer just to hold liquid, but they're also status symbols."
1,She saw no irony asking me to change but wanting me to accept her for who she is.
1,She used her own hair in the soup to give it more flavor.
1,She was too short to see over the fence.
1,"She wrote him a long letter, but he didn't read it."
1,"Sina Weibo reports that French tourists came in third, with 14 percent of the vote."
1,Smoky the Bear secretly started the fires.
1,Stop waiting for exceptional things to just happen.
1,Take a photograph of my penis and then tweet it 10.
1,The complicated school homework left the parents trying to help their kids quite confused.
1,The doll spun around in circles in hopes of coming alive.
1,The door slammed on the watermelon.
1,The door swung open to reveal pink giraffes and red elephants.
1,"The Green House “has made the process very, very manageable,” he told me."
1,The press secretary of the local office of [Vitali Klitschko's] UDAR party brazenly burned several St.
1,The random sentence generator generated a random sentence about a random sentence.
1,The Senate quietly passed a bill that would overturn the Affordable Care Act’s expansion of the small-group insurance market on Thursday—and it did so with surprisingly little fanfare.
1,The sky is clear; the stars are twinkling.
1,The story got more and more exciting.
1,"The then-Superintendent John Ramos took a reform approach that stipulated replacing the principal but keeping the rest of the staff, with a heavy emphasis on professional development, curriculum improvement, and expanded learning time."
1,The view from the lighthouse excited even the most seasoned traveler.
1,"There should have been a time and a place, but this wasn't it."
1,They desperately needed another drummer since the current one only knew how to play bongos.
1,"Thirty years later, she still thought it was okay to put the toilet paper roll under rather than over."
1,This is the world of choice and variation that feminism has ushered in.
1,Tom was sitting on the stoop.
1,"Wakefield tried walking that back, insisting he was getting in shape for spring training and ""very much"" wanted to pitch for the team, but Boston wouldn't budge."
1,"We slept on the same bed, but between us there was nothing... unfortunately."
1,Welcome to the Smart Set.
0,"When I get home, I want to walk right back out into traffic"
1,"When she didn’t like a guy who was trying to pick her up, she started using sign language."
1,"While a simple gold wedding band sells for around $300 in a jewelry store, it’ll bring just $30 at a pawn window."
1,"While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense."
1,Zika might use other receptors as well.
1,"""By just writing those things into the [Japanese] Constitution -- our Constitution doesn't have any of those things -- Beate Gordon intervened at a critical moment."
1,"""I've heard of other countries working with geneticists with adults."
1,• and various other buildings and sections of undeveloped property.
1,A cell then uses a matching piece of DNA as a template for repairing the cut.
1,"According to calculations done by the CBO, the increases in Medicare spending over the next 20 years will be driven primarily by the aging of the population."
1,acobs says he did not throw rocks at this young man;
1,"All the briefly glimpsed sequences of bacchanalian horror starring real porn actors, and the nice orgy etiquette of Champagne glasses for Champagne, martini glasses for Viagra."
1,At the end of A Few Good Men -- one of my favorite movies -- the two Marines accused of killing a younger weaker Marine are found Not Guilty of murder.
1,Bill ran from the giraffe toward the dolphin.
1,"Buried deep in the snow, he hoped his batteries were fresh in his avalanche beacon."
0,Carol drank the blood as if she were a vampire.
1,Check back tomorrow; I will see if the book has arrived.
1,Chocolate covered crickets were his favorite snack.
1,David proudly graduated from high school top of his class at age 97.
1,"David subscribes to the ""stuff your tent into the bag"" strategy over nicely folding it."
1,"Democratic TV advertising in the state, from Hagan's own campaign to allied outside groups, has focused on education cuts passed through Tillis's state House."
1,"Do not try to run away, please, because the eyes of your enemies are watchful."
1,Each person who knows you has a different perception of who you are.
1,"Even with the snow falling outside, she felt it appropriate to wear her bikini."
1,Every manager should be able to recite at least ten nursery rhymes backward.
1,"Falco, of course, is good, but there's nothing that stands out here."
1,Flesh-colored yoga pants were far worse than even he feared.
1,"For all the tech industry’s claims to be the leading edge of tomorrow, these people were still thinking in terms of a very old world."
1,"Graduates from the Florida College System's workforce-oriented bachelor's degree programs earn about $8,000 more the year after graduation than university graduates, according to research mandated by the state legislature."
1,He appeared to be confusingly perplexed.
1,He ended up sucking his fingers poking someone else's fire.
1,He had no luck in finding work.
1,He invested some skill points in Charisma and Strength.
1,He liked to play with words in the bathtub.
1,He poured rocks in the dungeon of his mind.
1,He shaved the peach to prove a point.
1,He told me about the change in the plan.
1,He told us a very exciting adventure story.
1,He was sure the Dean created red sparkly glitter.
1,"He will come with his wife, as is often the case with foreigners."
1,"He wore the surgical mask in public not to keep from catching a virus, but to keep people away from him."
1,Her hair was windswept as she rode in the black convertible.
1,Her scream silenced the rowdy teenagers.
1,"Her two follow-ups, Ultraviolence and Honeymoon, were gauzier, slower experiments in rock and cabaret, but Lust for Life is really Born to Die’s sequel: a rather fabulous return to catchiness, camp, and faint hip-hop influences."
0,How much better off I would be if I were dead
1,"However, the webpage may look a bit foreign."
0,Hurting others seems like my only option
1,I am never at home on Sundays.
0,I have been heavily using drugs
1,"I met “S” several years ago, when she was hired by the magazine where I worked as an editor."
1,I met an interesting turtle while the song on the radio blasted away.
1,"I prefaced the email by referring to college not only because the reader was responding to the debate about affirmative-consent laws, but also because her email is one I'd share with a son or daughter about to leave for school to convey that one never knows what experiences shaped people or affected their expectations about sex."
1,"I think I will buy the red car, or I will lease the blue one."
0,I want to jump 
1,I'd never betray her.
1,"I'm a great listener, really good with empathy vs sympathy and all that, but I hate people."
1,"If I don’t like something, I’ll stay away from it."
1,"If thought and culture aren’t why some languages pile it on while others take it light, then what is the reason?"
1,"If you have a problem with that, we'll try to make other arrangements."
1,"If you inserted the average Joe or Jane onto a basketball court or football field with a group of professionals, that person's presence would not even register."
0,Its like I don’t exist
1,Last Friday I saw a spotted striped blue worm shake hands with a legless lizard.
1,"Last week, Yellen testified before the Financial Services Committee of the House of Representatives."
1,"Liebling it ain't, but the glee with which Brydon pretends to be Al Pacino and the reluctant scorn with which Coogan inevitably joins in is why both The Trip and The Trip to Italy are so much fun."
1,Mali could well break Obama's carefully cultivated mold on African affairs.
1,"More than any other reference, HQ’s aesthetic makes me think of the British science-fiction series Black Mirror, a show about the dystopian but plausible future of technological dominion."
1,Myths about virginity cast a shadow of negativity over young people’s attitudes toward sex.
1,"No matter how beautiful the sunset, it saddened her knowing she was one day older."
1,Nobody loves a pig wearing lipstick.
1,"None of those are team sports, so there may be something there."
1,Now I need to ponder my existence and ask myself if I'm truly real
1,"Of course, this would require Obama to actually sign entitlement cuts into law rather than just propose them, a step it's not clear he's willing to take."
1,"On Monday, the S&P500 stock index rose by 1.3% -- its third best day of the year."
1,"One of the organization’s current priorities is working to secure recognition for the LGBT community in the Older Americans Act (OAA), the source of federal funding for senior-care programs across the country, as a population of “greatest social need,” deserving of dedicated funds for training, outreach, and services."
1,"One small action would change her life, but whether it would be for better or for worse was yet to be determined."
1,"One thing American audiences won't know is how female literacy has soared since the revolution, with Iran earning recognition from the United Nations for closing the gender gap in education between males and females."
1,"Outlets follow certain practices when reporting on suicide, too."
1,Patricia loves the sound of nails strongly pressed against the chalkboard.
1,"Peanuts don't grow on trees, but cashews do."
1,"Phyllis Coley, a director of counseling at Edmondson Westside High School, said it's difficult for students to achieve when their basic human needs aren't being met, when they are coming to school hungry and can't pay attention because there is no air-conditioning."
1,"president has visited Myanmar, formerly known as Burma."
1,Richard Nixon expanded the bombing and began the reduction in troops.
1,Second question: Here's one proof.
1,Section 103(c) of the statute sets out the limits of federal authority over state and Native lands in a district: Only those lands within the boundaries of any conservation system unit which are public lands (as such term is defined in this Act) shall be deemed to be included as a portion of such unit.
1,She couldn't decide of the glass was half empty or half full so she drank it.
1,She cried diamonds.
1,She looked at the masterpiece hanging in the museum but all she could think is that her five-year-old could do better.
1,She thought there'd be sufficient time if she hid her watch.
1,She was disgusted he couldn’t tell the difference between lemonade and limeade.
1,She wore green lipstick like a fashion icon.
1,So it is hardly surprising that a medical marijuana regime like Michigan's or California's would invite a lot of pretending.
1,So the state will need taxpayers to bail out their promised payments to retirees.
1,Terrorists unquestionably fall into this category.
1,Thanks to a scholarship from the U.S.
1,That's what today's repeal advocates want back.
1,The hand sanitizer was actually clear glue.
1,"The investigation is expected to focus on Tsunehisa Katsumata, the chairman of TEPCO shown above at a contrite press conference three weeks after the disaster."
1,The light that burns twice as bright burns half as long.
1,The old apple revels in its authority.
1,The pet shop stocks everything you need to keep your anaconda happy.
1,The rain pelted the windshield as the darkness engulfed us.
1,"The rusty nail stood erect, angled at a 45-degree angle, just waiting for the perfect barefoot to come along."
1,The stranger officiates the meal.
1,The tattered work gloves speak of the many hours of hard labor he endured throughout his life.
1,The thick foliage and intertwined vines made the hike nearly impossible.
1,The trick to getting kids to eat anything is to put catchup on it.
1,The Tsunami wave crashed against the raised houses and broke the pilings as if they were toothpicks.
1,"The week I began testosterone back in 2011, whispers of an American version of the masculinity crisis had already begun."
1,There are few things better in life than a slice of pie.
1,"There's an art to getting your way, and spitting olive pits across the table isn't it."
1,They did nothing as the raccoon attacked the lady’s bag of food.
1,"They said ""We have to destroy Gingrich."" One was even quoted in the New York Times saying we have to ""eviscerate,"" which I thought was a pretty strong word in the Republican primary."
1,This enzyme is produced in the stomach.
1,"This fake outrage -- the ""Umbrage Wars""!"
1,This is the last random sentence I will be writing and I am going to stop mid-sent
1,Today I heard something new and unmemorable.
1,Today is the day I'll finally know what brick tastes like.
1,"Tomorrow will bring something new, so leave today as a memory."
1,We have a lot of rain in June.
1,We need to rent a room for our party.
1,"Wendy Smith, an English professor at San Diego Mesa College, said Solares’ story is similar to many she has heard during her years of teaching."
1,While on the first date he accidentally hit his head on the beam.
1,You bite up because of your lower jaw.
1,"You have every right to be angry, but that doesn't give you the right to be mean."
1,You realize you're not alone as you sit in your bedroom massaging your calves after a long day of playing tug-of-war with Grandpa Joe in the hospital.
1,"""I am not prepared to have that suggestion driven around London on our buses."" In other words, he was not amused."
1,"""My door is always open,"" he said."
1,"""Someone wins and someone loses every day,"" Vandara said with a shrug."
1,"(Even among consumers with very poor credit, King says that Self-Help is not experiencing losses on its Wealth Builder loans."
1,Affiliate links generate revenue.
1,"African Americans, like Latinos, are far more optimistic about America’s future than are whites."
1,Aggressively folksy radio personality Garrison Keillor is telling AARP magazine he plans to retire as host of A Prairie Home Companion in the spring of 2013.
1,"and (3) whether we should spend lots of money, along with CIA and NSA man hours, on the operation.  They're right."
1,Any doubts with the assignment?
1,"Anyway, Spears's people now say that she was just kidding, her eight-year-old son is not going to be a part of her Las Vegas floor show."
1,Apple made a calendar to show the dates and times of its calls with publishers.
1,As he entered the church he could hear the soft voice of someone whispering into a cell phone.
1,"As she walked along the street and looked in the gutter, she realized facemasks had become the new cigarette butts."
1,"As time wore on, simple dog commands turned into full paragraphs explaining why the dog couldn’t do something."
1,"At the urging of city and county leaders, and Berger’s administrators, residents voted to allow local politicians and the hospital’s board to begin a process to turn Berger, one of the last publicly owned and operated hospitals in the state, into a nonprofit private corporation."
1,Beach-combing replaced wine tasting as his new obsession.
1,But the baby food industry as a whole is doing really well.
1,"But the real test again comes in 2019, when all of the seats in both the House of Delegates and the Senate will be up for grabs in a final round of jockeying for mapmaking."
1,"Choosing to do nothing is still a choice, after all."
1,Courage and stupidity were all he had.
1,Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world.
0,Everyone can go fuck themselves
1,"For one, like Romney, he is a member of the Church of Jesus Christ of Latter-day Saints."
0,Fuck these people
1,Getting up at dawn is for the birds.
1,Grape jelly was leaking out the hole in the roof.
1,Having no hair made him look even hairier.
0,He decided to fake his disappearance to avoid jail.
1,He enjoys practicing his ballet in the bathroom.
1,He had concluded that pigs must be able to fly in Hog Heaven.
1,He had decided to accept his fate of accepting his fate.
1,He is good at eating pickles and telling women about his emotional problems.
1,He learned the important lesson that a picnic at the beach on a windy day is a bad idea.
1,He looked behind the door and didn't like what he saw.
1,He picked up trash in his spare time to dump in his neighbor's yard.
1,He walked into the basement with the horror movie from the night before playing in his head.
1,He was sitting in a trash can with high street class.
1,He went on a whiskey diet and immediately lost three days.
1,"His incendiary rhetoric, though, has led even conservative broadcasters to distance themselves from him."
1,"I am counting my calories, yet I really want dessert."
1,I am happy to take your donation; any amount will be greatly appreciated.
1,I am planting an orange tree.
1,I ate a sock because people on the Internet told me to.
0,I hate my life
1,I like to leave work after my eight-hour tea-break.
1,"I slipped and fell on the trail of oil the Post ""photographer"" left near my bldg.Who do I sue?"
1,I think Tom and Mary are secretly married.
0,I want to disappear.
0,I want to hurt them
1,I would be delighted if the sea were full of cucumber juice.
1,"If he had to take out loans to put his kids through college, how is he going to pay for a slipped disk?"
0,Im disappointed by everything in my life
1,IMPLICATION: Health care professionals should acknowledge that there are many ways to feed a baby safely and replace the checklist method to breastfeeding with a family-centered narrative approach.
1,"In less than a decade of medical practice he had developed the reputation of being something of a storm chaser of the infectious diseases that surfaced in the Low Country of South Carolina, an area characterized by viciously hot and humid summers, extensive marshes, and, of course, mosquitoes."
1,"In my mind this State behavior poses a threat to democracy in the long-term: for journalists, it may mean the seizure of a camera or a computer full of source information;"
1,"In that instant, everything changed."
1,"In the wake of the shooting, the Conservative Political Action Conference decided not to put National Rifle Association Executive Vice President Wayne LaPierre on its list of speakers.* But LaPierre spoke, and it was a stemwinder."
1,"In World War I, American newspapers had published alot of stories about German atrocities -- about how they were bayoneting babiesin Belgium -- and those proved to be fabrications."
1,It caught him off guard that space smelled of seared steak.
1,It didn't make sense unless you had the power to eat colors.
1,It is a curse.
1,It was a slippery slope and he was willing to slide all the way to the deepest depths.
0,Its like no one even notices me
1,Jan Brewer was as bad as a BBC satire of a politician and this internet star sold out for a pot of gold at the end of his double rainbows.
1,Joe made the sugar cookies; Susan decorated them.
1,Kevin (Thomas Ian Nichols) is likewise hitched.
0,Loneliness is eating my soul
1,Mary cleared her throat nervously.
1,Mary seems to be bored with the game.
1,Most shark attacks occur about 10 feet from the beach since that's where the people are.
1,My dentist tells me that chewing bricks is very bad for your teeth.
0,My life sucks and I want it to end
1,"My own analysis, conducted with my Martin Prosperity Institute colleague Charlotta Mellander, turns up no statistical associations between crime and either the level or the change in the level of unemployment across metros, or between crime and the level of income inequality."
1,Nancy was proud that she ran a tight shipwreck.
1,"Navy Secretary Ray Mabus says that women should be allowed to try out for elite Navy SEAL units, and former Defense Secretary Robert Gates told a crowd of ROTC cadets last year that he expected female troops to move increasingly into other Special Operations detachments."
1,Not so for many cyber and bio threats.  Michael Joseph Gross has a full profile of the Stuxnet worm: Because cyber-weapons pose an almost unsolvable problem of sourcing--who pulled the trigger?--war could evolve into something more and more like terror.
1,"On Sunday, CIA Director John Brennan acknowledged that while the United States had “destroyed a large part of al-Qaeda,” the group was “not completely eliminated.” As for ISIS and its leader Abu Bakr al-Baghdadi: “If we got Baghdadi, I think it would have a great impact on the organization.” As the death of bin Laden, and other terrorist kingpins before him, demonstrates, the exact nature of that impact won’t be known for years."
1,"Only two other Asian Americans have won the Newbery—Linda Sue Park, in 2002 for A Single Shard, and Cynthia Kadohata, in 2005 for Kira-Kira."
1,Pair your designer cowboy hat with scuba gear for a memorable occasion.
1,Pantyhose and heels are an interesting choice of attire for the beach.
1,Paul forcefully defended his foreign policy ideas.
1,People generally approve of dogs eating cat food but not cats eating dog food.
1,People traveling abroad always have to get used to new food.
1,Plans for this weekend include turning wine into water.
1,"Rubio finally says that he believes in a safety net, including Social Security and Medicare (though reformed in some unspecified way that makes them solvent)."
0,Sadness is suffocating my soul
1,She called poppycock on the Times.
1,She did a happy dance because all of the socks from the dryer matched.
1,"She did not cheat on the test, for it was not the right thing to do."
1,She finally understood that grief was her love with no place for it to go.
1,She found his complete dullness interesting.
1,She tilted her head back and let whip cream stream into her mouth while taking a bath.
1,She wondered what his eyes were saying beneath his mirrored sunglasses.
1,Sometimes you have to just give up and win by cheating.
1,"Soon, Kacinskis entered and introduced himself."
1,That’s an evolutionary mystery.
1,"The authors take this further, arguing that Facebook stoked the participants' egos so well that they then became complacent."
1,The blue parrot drove by the hitchhiking mongoose.
1,"The busker hoped that the people passing by would throw money, but they threw tomatoes instead, so he exchanged his hat for a juicer."
1,"The campaign for Scottish independence has garnered international interest, especially since recent polls indicated, for the first time, that success is within reach for the movement to break away from the United Kingdom."
1,The fox in the tophat whispered into the ear of the rabbit.
1,"The gender question is a sensitive one—Republicans will bellyache about her ""playing the woman card,"" but they generally know better than to attack her for it."
1,The girl who gave me beautiful flowers was your sister.
1,The lyrics of the song sounded like fingernails on a chalkboard.
1,The paintbrush was angry at the color the artist chose to use.
1,The Prussian military theorist Carl von Clausewitz advised against taking the first step in war “without considering the last.” And former U.S.
1,The quick brown fox jumps over the lazy dog.
1,The revelation that “Hodor” is really “Hold-the-door” was the last of the episode’s many examples of how the past can boomerang into the present.
1,The ship’s party pieces are the bionic bartenders on the ship’s main promenade.
1,"The story behind the theatrical release of Leaves of Grass, a woolly dark comedy starring Edward Norton as a pair of polar-opposite twins, is its own comedy of errors."
1,The team members were hard to tell apart since they all wore their hair in a ponytail.
1,The toy brought back fond memories of being lost in the rain forest.
1,"The TTB can do that, but that would be a hearing process."
1,The whole gang got back to the schoolyard antics right away Wednesday night.
1,"then along the Columbia River and Snake River gorges toward the twin towns of Lewiston, Idaho, and Clarkston, Washington, along which a giant-scale commemorative project designed by Maya Lin is underway;"
1,There are a lot of parallels between the world of 375 million years ago and the world of today.
1,There aren't enough towels in the world to stop the sewage flowing from his mouth.
1,They were excited to see their first sloth.
1,they’re matched with gamblers willing to make the opposite wager.
1,"This Thursday, a hearing will be held on a defense request to move the trial from Baltimore, where the officers’ lawyers say their clients can’t get a fair hearing."
1,Those are the questions we need to attend to.
1,"Tim Scott of South Carolina was visited earlier in the day by dozens of members of the Alpha Phi Alpha fraternity, an intercollegiate black fraternity, who urged him to support Lynch."
1,"To that end, Clinton has indicated that she would protect  the Supplemental Nutrition Assistance Program (SNAP), which provides grocery vouchers."
1,Two seats were vacant.
1,Watching the geriatric men’s softball team brought back memories of 3 yr olds playing t-ball.
1,We should play with legos at camp.
1,What are you dealing with?
0,Whiskey is the only thing I drink
1,Why can't our political leadership just give this guy the worm treatment already?
1,Would you play with me?
1,Your girlfriend bought your favorite cookie crisp cereal but forgot to get milk.
1," In fact, Variety's Scott Foundas actually liked the film, and Lohan's performance, writing that she ""gives one of those performances, like Marlon Brando’s in 'Last Tango in Paris,' that comes across as some uncanny conflagration of drama and autobiography."" (Lohan tweeted the link to Foundas' review with the message: ""humbled and feeling so much gratitude."") Not everyone is so enthusiastic—Joe Neumaier at the Daily News said she ""proves watchable,"" which is sort of a backhanded compliment—but even one rave is better than anything associated with Liz &"
1,"“Anybody who late on they rent, to buy tickets, or can’t buy some shit they needed, in order to buy tickets."
1,"“The office calls and says you have a package, and we’re like ‘Yay!’ and the kids get excited."
1,"(Going public with support Saturday were writer Jonathan Franzen and actor Mark Ruffalo.) The Times described the moment that some marchers, who had stayed on the sidewalk since leaving Zuccotti Park in Lower Manhattan, moved into the traffic lanes."
1,"A choice between two serious, professional, political leaders with even temperaments and years of training and experience might seem quite welcome."
1,"After exploring the abandoned building, he started to believe in ghosts."
0,Aim the gun at the target.
1,"Although the district attorney's chief of staff, Susan Kang Schroeder, declined to allow community court personnel from her office to participate directly in this story—offering instead to relay answers to written questions—prosecutors at the court seemed to work with the entire team in a positive and engaged way, always focused on the clients’ individual situations.* “We argue about stuff all the time."
1,and China are oceans and even hemispheres apart.
1,At that moment she realized she had a sixth sense.
1,"Barack Obama, and Senators had a good conversation"
1,Brazil is also the largest emitter in Latin America.
1,"But in that particular instance, it was questions of misjudgment and candor, and she was held accountable for that and so I don’t think gender had anything to do with those issues."
1,But smarter solutions are also necessary.
1,But the Internet is still breathlessly awaiting Parker Posey's rendition.
1,"By the time of the June attacks in Shanshan, where another 27 people were killed, the attackers had stopped being “rioters” or “criminals” and become straightforward “terrorists,” linked by state media to the Syrian civil war."
1,"Disintermediating technologies bring fresh voices into the fray, but they also bring atomization and cacophony."
1,Do you have a son named Tom?
1,Don't piss in my garden and tell me you're trying to help my plants grow.
1,"For O’Malley, the decision to work within the system was easy."
1,"For Ohio: Poll of 931 likely voters with a margin of error of +/-3.2 percent.Why it matters: Sara Murray writes in the Journal that these new polls show that the race is ""highly competitive."" That said, it's looking grim for Romney in Ohio, but the closeness of the other two races implies that if he loses that one he still has a chance to win in the states he would need."
1,Harrold felt confident that nobody would ever suspect his spy pigeon.
1,He decided that the time had come to be stronger than any of the excuses he'd used until then.
1,He decided water-skiing on a frozen lake wasn’t a good idea.
1,He hated that he loved what she hated about hate.
1,He may be sick in bed.
1,"He said he was not there yesterday; however, many people saw him there."
1,He waited for the stop sign to turn to a go sign.
1,He was 100% into fasting with her until he understood that meant he couldn't eat.
1,He was also carrying a compass.
1,"He was getting choked up then, speaking to a crowded room at a panel leading up to the Aspen Ideas Festival, about the life—and death—of his wife Brittany Maynard."
1,He was sure the Dean created red sparkly glitter.
1,Her daily goal was to improve on yesterday.
0,Hurt me
1,I added a room to my house.
1,I asked them to fix my car.
1,I have a classmate who has a motorboat license.
0,I just want to sleep
1,"I love you, do you hear me? I love you!"
1,"I may struggle with geography, but I'm sure I'm somewhere around here."
0,I should just kill myself
1,I tell my story because this is the side of the system we didn’t get to see where I grew up.
0,I use hard drugs
0,I want to kill myself
1,"I would have gotten the promotion, but my attendance wasn’t good enough."
0,I'm thankful to be alive.
1,I’m a living furnace.
1,"If eating three-egg omelets causes weight-gain, budgie eggs are a good substitute."
1,"If my calculator had a history, it would be more embarrassing than my browser history."
1,If you like tuna and tomato sauce- try combining the two. It’s really not as bad as it sounds.
1,"In the end, he realized he could see sound and hear words."
1,"it now employs more than 100,000 people and has revenues close to $5 billion, according to industry analyst and newsletter publisher Gregory Piatetsky-Shapiro."
1,It turns out you don't need all that stuff you insisted you did.
1,It was the best sandcastle he had ever seen.
1,It's a skateboarding penguin with a sunhat!
1,It's not often you find a soggy banana on the street.
1,John Quincy Adams won a seat in the House of Representatives and fought slavery.
1,"Just as the overall composition of the country is changing, so is the nature of the white electorate."
1,Just go ahead and press that button.
1,Karen realized the only way she was getting into heaven was to cheat.
0,Kill me
1,Lets all be unique together until we realise we are all the same.
1,"Mercifully, that number was followed by some real Finn-Rachel plot development."
1,"Mobula rays cavort in the deep, stirring glow plankton as they move, creating an ethereal scene that looks like a clip from Moana."
1,Mothers spend months of their lives waiting on their children.
0,My mind is consumed by hatred
0,My tendency is to go numb to it all.
0,No one talks to me
1,"Not to say bankers don’t have stakes now, but they have it on the upside, which is to do the things that bring in big bucks."
1,Nudist colonies shun fig-leaf couture.
1,"Once you go Mac, you'll never go back."
1,Our lives were turned upside down once again last month.
1,Pat ordered a ghost pepper pie.
1,Plans covered a long table.
1,Political strategists will point to a second benefit:the local press coverage usually lifts the president's approval ratingsin the immediate vicinity of the event for a while.
